epoch,accuracy,loss,val_accuracy,val_loss
0,0.06363999843597412,4.914529800415039,0.21515151858329773,4.154880523681641
1,0.22360000014305115,3.9677321910858154,0.401193767786026,3.076711654663086
2,0.3326599895954132,3.3126296997070312,0.4945821762084961,2.532898187637329
3,0.40748000144958496,2.9204652309417725,0.5568411350250244,2.205503463745117
4,0.4623199999332428,2.6296260356903076,0.6031221151351929,1.9689679145812988
5,0.5011399984359741,2.4326066970825195,0.6319559216499329,1.823183536529541
6,0.5294600129127502,2.2832276821136475,0.6517906188964844,1.710161805152893
7,0.5542600154876709,2.15702748298645,0.6766758561134338,1.589741826057434
8,0.5767599940299988,2.0425455570220947,0.694490373134613,1.5010911226272583
9,0.591920018196106,1.9506431818008423,0.692286491394043,1.4618897438049316
10,0.6055600047111511,1.8791983127593994,0.7176308631896973,1.3888607025146484
11,0.6236400008201599,1.7848365306854248,0.7234159708023071,1.3268742561340332
12,0.6295599937438965,1.7378638982772827,0.7394857406616211,1.2486628293991089
13,0.6403800249099731,1.6827163696289062,0.7572084665298462,1.1680784225463867
14,0.6501799821853638,1.6274923086166382,0.7639118432998657,1.1349915266036987
15,0.6599599719047546,1.5749715566635132,0.7636363506317139,1.124511480331421
16,0.66975998878479,1.5279901027679443,0.7594122886657715,1.1247062683105469
17,0.678059995174408,1.4876676797866821,0.7629017233848572,1.0908570289611816
18,0.686020016670227,1.4499447345733643,0.7900826334953308,1.0032988786697388
19,0.6906399726867676,1.4185665845870972,0.7900826334953308,0.9880179762840271
